ticker,company_name,country,primary_business_tag,business_tags,business_overview
A,"Agilent Technologies, Inc.",United States,diagnostics,diagnostics;laboratory_equipment;life_sciences,"Provides laboratory instruments, diagnostic technologies, analytical software and related scientific services."
AAPL,Apple Inc.,United States,consumer_electronics,consumer_electronics;digital_content;payments,"Develops and sells consumer electronic devices and related technologies, with additional activities or exposure across digital content and payment services."
ABBV,Abbvie Inc.,United States,pharmaceuticals,pharmaceuticals;biotechnology,"Develops, manufactures and markets pharmaceutical products, with additional activities or exposure across biotechnology."
ABNB,"Airbnb, Inc.",United States,digital_marketplaces,digital_marketplaces;travel_services,Operates a digital marketplace connecting hosts and guests for accommodation and travel experiences.
ABT,Abbott Laboratories,United States,medical_devices,medical_devices;diagnostics;pharmaceuticals,"Develops and supplies medical devices, diagnostic technologies, nutritional products and related healthcare solutions."
ACGL,Arch Capital Group Ltd.,United States,insurance,insurance;reinsurance,"Provides insurance, reinsurance and mortgage-insurance services."
ACN,Accenture Public Limited Company,United States,consulting,consulting;enterprise_software;artificial_intelligence,"Provides consulting, technology, operations and digital-transformation services, with additional activities or exposure across enterprise software and artificial intelligence."
ADBE,Adobe Inc.,United States,enterprise_software,enterprise_software;digital_content,"Develops creative, digital-media, document-management and customer-experience software and related cloud services."
ADI,"Analog Devices, Inc.",United States,semiconductors,semiconductors;artificial_intelligence,"Designs, manufactures and supplies semiconductor technologies, with additional activities or exposure across artificial intelligence."
ADM,Archer-Daniels-Midland Company.,United States,agriculture_inputs,agriculture_inputs;food_ingredients,"Procures, processes and supplies agricultural commodities, food ingredients and nutrition products."
ADP,"Automatic Data Processing, Inc.",United States,human_capital_services,human_capital_services;enterprise_software,"Provides payroll, human-capital-management and related business-process services through cloud-based software platforms."
ADSK,"Autodesk, Inc.",United States,enterprise_software,enterprise_software;media_entertainment,"Develops design, engineering, architecture, construction and manufacturing software and related digital technologies, with additional activities or exposure across media and entertainment."
AEE,Ameren Corporation,United States,utilities,utilities;natural_gas,"Generates, transmits and distributes electricity and natural gas through regulated utility networks."
AEP,"American Electric Power Company, Inc.",United States,utilities,utilities;electricity_generation,"Generates, transmits and distributes electricity through regulated utility operations."
AES,The Aes Corporation,United States,utilities,utilities;renewable_energy,"Generates and supplies electricity, with additional activities or exposure across renewable-energy generation and energy infrastructure."
AFL,Aflac Incorporated,United States,insurance,insurance,"Provides supplemental health, life and related insurance products."
AIG,"American International Group, Inc.",United States,insurance,insurance,Provides commercial and personal insurance solutions and related risk-management services.
AIZ,"Assurant, Inc.",United States,insurance,insurance;consumer_electronics;automotive,"Provides insurance and protection services, with additional activities or exposure across consumer electronics and automotive markets."
AJG,Arthur J. Gallagher & Co.,United States,insurance_brokerage,insurance_brokerage;consulting,"Provides insurance brokerage, risk-management and consulting services."
AKAM,"Akamai Technologies, Inc.",United States,cloud_services,cloud_services;cybersecurity,"Provides cloud-computing infrastructure, cybersecurity and application-delivery services."
ALAB,Astera Labs,United States,semiconductors,semiconductors;artificial_intelligence,Designs and supplies semiconductor connectivity technologies for cloud and artificial-intelligence infrastructure.
ALB,Albemarle Corporation,United States,chemicals,chemicals;battery_materials,"Develops, manufactures and supplies specialty chemicals, with additional activities or exposure across lithium and battery materials."
ALGN,"Align Technology, Inc.",United States,medical_devices,medical_devices;enterprise_software,"Develops and supplies orthodontic medical devices, digital dentistry technologies and related software solutions."
ALL,The Allstate Corporation,United States,insurance,insurance,"Provides personal and commercial insurance products, with additional activities or exposure across consumer protection services."
ALLE,Allegion Public Limited Company,United States,physical_security,physical_security;access_control,"Develops and supplies physical security, access-control and building-security technologies."
ALNY,Alnylam Pharmaceuticals,United States,biotechnology,biotechnology;pharmaceuticals,Develops biotechnology-based therapies and RNA-interference medicines.
AMAT,"Applied Materials, Inc.",United States,semiconductor_equipment,semiconductor_equipment;enterprise_software,"Designs, manufactures and supplies semiconductor manufacturing equipment, software and related services."
AMCR,Amcor Plc,United States,packaging,packaging,Develops and supplies flexible and rigid packaging products and related materials.
AMD,"Advanced Micro Devices, Inc.",United States,semiconductors,semiconductors;artificial_intelligence,"Designs, manufactures and supplies semiconductor technologies, with additional activities or exposure across artificial intelligence and high-performance computing."
AME,"Ametek, Inc.",United States,industrial_machinery,industrial_machinery;laboratory_equipment,"Designs and supplies industrial instruments, automation technologies and precision engineering systems."
AMGN,Amgen Inc.,United States,biotechnology,biotechnology;pharmaceuticals,"Develops biotechnology-based therapies, medicines and related research capabilities."
AMP,"Ameriprise Financial, Inc.",United States,wealth_management,wealth_management;asset_management;insurance,"Provides wealth management, asset management and related financial services, with additional activities or exposure across insurance."
AMT,American Tower Corporation,United States,communications_infrastructure,communications_infrastructure;data_centres,"Owns, develops and operates communications infrastructure and data-centre real-estate assets."
AMZN,"Amazon.Com, Inc.",United States,ecommerce,ecommerce;cloud_services;digital_content;consumer_electronics,"Operates digital and physical retail businesses, with additional activities or exposure across cloud services, digital content and consumer electronics."
ANET,"Arista Networks, Inc.",United States,networking_equipment,networking_equipment;enterprise_software,"Develops and supplies networking infrastructure, switching platforms and related software technologies."
AON,Aon Plc,United States,insurance_brokerage,insurance_brokerage;consulting,"Provides insurance brokerage, reinsurance and human-capital consulting services."
AOS,A. O. Smith Corporation,United States,industrial_machinery,industrial_machinery;water_treatment,"Designs, manufactures and supplies water-heating, water-treatment and related industrial systems."
APA,Apa Corporation,United States,oil_gas,oil_gas,"Explores, produces and develops oil and natural-gas resources."
APD,"Air Products And Chemicals, Inc.",United States,industrial_gases,industrial_gases;chemicals,"Produces and supplies industrial gases, related equipment and engineering services."
APH,Amphenol Corporation,United States,electronic_components,electronic_components;communications_equipment,"Designs, manufactures and supplies electronic connectors, interconnect systems, sensors and related technologies."
APO,Apollo Global Management,United States,asset_management,asset_management;retirement_services,Provides alternative asset-management and retirement-services solutions.
APP,AppLovin Corporation,United States,advertising_technology,advertising_technology;artificial_intelligence,"Develops advertising technology, artificial-intelligence and marketing software platforms."
APTV,Aptiv Plc,United States,automotive_technology,automotive_technology;enterprise_software,"Develops automotive technologies, vehicle connectivity, advanced safety systems and related software platforms."
ARE,"Alexandria Real Estate Equities, Inc.",United States,life_science_real_estate,life_science_real_estate,"Owns, develops and operates life-science and technology-focused real-estate assets."
ARES,Ares Management,United States,asset_management,asset_management;private_equity,Provides alternative asset-management and private-investment services.
ARM,Arm Holdings,United States,semiconductor_design,semiconductor_design,Develops and licenses semiconductor processor architectures and related technologies.
ASML,Asml Holding Nv,United States,semiconductor_equipment,semiconductor_equipment,"Designs, manufactures and services semiconductor lithography systems and related technologies."
ATO,Atmos Energy Corporation,United States,natural_gas,natural_gas;utilities,"Operates natural-gas distribution, transmission and storage infrastructure."
AVB,"Avalonbay Communities, Inc.",United States,residential_real_estate,residential_real_estate,"Owns, develops and manages residential real-estate assets."
AVGO,Broadcom Inc.,United States,semiconductors,semiconductors;enterprise_software;cybersecurity,"Designs, develops and supplies semiconductor technologies, enterprise software and cybersecurity solutions."
AVY,Avery Dennison Corporation,United States,packaging,packaging;industrial_materials;digital_identification,"Develops and supplies packaging materials, digital-identification technologies and industrial labelling solutions."
AWK,"American Water Works Company, Inc.",United States,water_utilities,water_utilities,"Provides water supply, wastewater treatment and related utility services."
AXON,"Axon Enterprise, Inc.",United States,public_safety_technology,public_safety_technology;cloud_services;artificial_intelligence,"Develops public-safety technologies, connected devices and cloud-based digital evidence platforms."
AXP,American Express Company,United States,payments,payments;banking;travel_services,"Provides payment, card-network, banking and related financial services, with additional activities or exposure across travel services."
AZO,"Autozone, Inc.",United States,automotive_retail,automotive_retail;automotive,"Operates automotive parts retail and distribution businesses, with additional activities or exposure across vehicle diagnostics and repair solutions."
BA,The Boeing Company,United States,aerospace_defence,aerospace_defence,"Designs, manufactures and supports commercial aircraft, defence systems and aerospace technologies."
BAC,Bank Of America Corporation,United States,banking,banking;wealth_management;investment_banking,"Provides retail, commercial and investment banking services, with additional activities or exposure across wealth management."
BALL,Ball Corporation,United States,packaging,packaging,Develops and supplies sustainable aluminium packaging products for beverage and consumer markets.
BAX,Baxter International Inc.,United States,medical_devices,medical_devices;diagnostics;pharmaceuticals,"Develops and supplies medical devices, hospital technologies and specialty pharmaceutical products."
BBY,"Best Buy Co., Inc.",United States,retail,retail;consumer_electronics,"Operates consumer electronics retail businesses, with additional activities or exposure across technology services."
BDX,"Becton, Dickinson And Company",United States,medical_devices,medical_devices;diagnostics;laboratory_equipment,"Develops, manufactures and supplies medical devices, laboratory equipment and diagnostic technologies."
BEN,"Franklin Resources, Inc.",United States,asset_management,asset_management;investment_services,"Provides asset-management, investment and related advisory services."
BF.B,Brown-Forman Corporation,United States,beverages,beverages,"Produces, markets and distributes branded wines, spirits and related alcoholic beverages."
BG,Bunge Limited,United States,agriculture_inputs,agriculture_inputs;food_ingredients,"Processes agricultural commodities and supplies food ingredients, edible oils and nutrition products."
BIIB,Biogen Inc.,United States,biotechnology,biotechnology;pharmaceuticals,"Develops biotechnology-based therapies and medicines focused on neurological, immunological and rare diseases."
BK,The Bank Of New York Mellon Corporation,United States,custody_services,custody_services;asset_management;wealth_management,"Provides custody, asset servicing, investment management and wealth-management services."
BKNG,Booking Holdings Inc.,United States,digital_marketplaces,digital_marketplaces;travel_services,"Operates digital travel marketplaces, reservation platforms and related hospitality services."
