Asset,Symbol,Entry Date,Entry Price,Current Price,Position Size,Direction,Sector,Country,Strategy Tag,Notes,Leverage Used
Company_1,TICK1,10/01/2024,150,162,100,Long,Technology,USA,Pullback,Core position,
Company_2,TICK2,15/02/2024,40000,38500,0.5,Long,Crypto,Global,Trend,Short-term trade,1.5
Company_3,TICK3,28/01/2024,240,195,80,Short,Auto,USA,Mean Reversion,Speculative,
Company_4,TICK4,12/03/2024,125,132,60,Long,E-commerce,USA,Trend,Partial position,
Company_5,TICK5,20/01/2024,27.5,26.1,300,Short,Energy,UK,Event Risk,Hedge,3
Company_6,TICK6,05/02/2024,55,61,200,Long,Manufacturing,Canada,Breakout,None,
Company_7,TICK7,18/01/2024,92,88,150,Short,Utilities,Australia,Rotation,Re-entry,
Company_8,TICK8,09/02/2024,30,29.5,500,Long,Healthcare,Germany,Defensive,Watchlist,2
Company_9,TICK9,25/01/2024,12,14,1000,Long,Financials,India,Value,None,1.8
Company_10,TICK10,01/03/2024,18.5,17.2,400,Short,Materials,Brazil,Macro Bet,None,1.1
