theme,catalyst,description,display_order,status
Energy,Fuel prices rising,Rising fuel costs affecting businesses and consumers.,10,active
Energy,Fuel prices falling,Falling fuel costs affecting business costs and demand.,20,active
Energy,Oil production disruption,Disruption affecting crude oil production or availability.,30,active
Energy,Natural gas demand increasing,Growing demand for natural gas and related infrastructure.,40,active
Energy,LNG capacity expansion,Expansion of liquefied natural gas production and transport capacity.,50,active
Energy,Renewable investment accelerating,Increasing investment in renewable generation and supporting infrastructure.,60,active
Energy,Grid modernisation,"Investment in electricity transmission, distribution and grid resilience.",70,active
Energy,Electricity demand increasing,"Growing electricity consumption across commercial, industrial and digital infrastructure.",80,active
Energy,Energy storage adoption,Increasing deployment of battery and other energy storage technologies.,90,active
Energy,Refining capacity constraints,Constraints affecting refined fuel production and availability.,100,active
Technology,AI infrastructure investment,"Investment in compute, connectivity and infrastructure supporting artificial intelligence.",10,active
Technology,Cloud spending accelerating,Increasing enterprise expenditure on cloud computing and hosted infrastructure.,20,active
Technology,Semiconductor demand increasing,Broad growth in demand for semiconductor components and capacity.,30,active
Technology,Enterprise software investment,Increasing business expenditure on enterprise software and digital workflows.,40,active
Technology,Cybersecurity investment,"Growing expenditure on digital security, resilience and identity protection.",50,active
Technology,Data centre expansion,Expansion of data centre capacity and associated physical infrastructure.,60,active
Technology,Consumer electronics demand,Changing demand for connected and personal electronic devices.,70,active
Technology,Digital payments growth,"Increasing use of digital payment networks, processing and wallets.",80,active
Technology,Network infrastructure upgrades,Investment in communications and enterprise networking infrastructure.,90,active
Technology,Technology regulation,"Regulatory developments affecting technology products, platforms and infrastructure.",100,active
Consumer,Consumer spending strengthening,Improving household expenditure across discretionary goods and services.,10,active
Consumer,Consumer spending weakening,Softening household expenditure and greater sensitivity to essential spending.,20,active
Consumer,Luxury demand increasing,Growing demand for premium consumer goods and experiences.,30,active
Consumer,Travel demand increasing,Higher demand for leisure and business travel.,40,active
Consumer,Restaurant spending growth,Increasing household expenditure on food service and dining.,50,active
Consumer,Retail footfall changing,Changing physical retail traffic and store utilisation.,60,active
Consumer,Ecommerce growth,Increasing consumer spending through online marketplaces and digital retailers.,70,active
Consumer,Housing-related spending,Changing household expenditure linked to housing and home improvement.,80,active
Consumer,Advertising demand changing,Changes in marketing expenditure driven by consumer demand and business confidence.,90,active
Consumer,Disposable income changing,Changes in household purchasing power affecting discretionary and essential expenditure.,100,active
Healthcare,Ageing population,"Demographic change increasing demand for healthcare products, services and care.",10,active
Healthcare,Drug approvals,New medicines and therapies progressing to commercial availability.,20,active
Healthcare,Medical device adoption,Increasing adoption of medical technologies and procedural equipment.,30,active
Healthcare,Hospital investment,Capital expenditure and infrastructure investment by healthcare providers.,40,active
Healthcare,Healthcare regulation,Policy and regulatory developments affecting healthcare provision and products.,50,active
Healthcare,Biotechnology innovation,"Scientific advances supporting new therapies, diagnostics and research tools.",60,active
Healthcare,Diagnostic demand,"Increasing use of laboratory, molecular and imaging diagnostics.",70,active
Healthcare,Digital healthcare adoption,"Growing use of software, connected devices and digital delivery in healthcare.",80,active
Healthcare,Pandemic preparedness,"Investment in healthcare resilience, surveillance, diagnostics and medical supply capacity.",90,active
Healthcare,Insurance reimbursement changes,"Changes in healthcare reimbursement, coverage and payment models.",100,active
Industrials,Manufacturing expansion,Growing industrial production and factory activity.,10,active
Industrials,Manufacturing slowdown,Weakening industrial production and capital utilisation.,20,active
Industrials,Infrastructure investment,Investment in public and private physical infrastructure.,30,active
Industrials,Construction activity,"Changes in residential, commercial and infrastructure construction.",40,active
Industrials,Defence spending,"Government expenditure on defence systems, equipment and capabilities.",50,active
Industrials,Automation investment,"Investment in robotics, controls and automated industrial processes.",60,active
Industrials,Logistics demand,"Changes in demand for warehousing, distribution and freight services.",70,active
Industrials,Freight activity,Changes in the physical movement of goods across transport networks.,80,active
Industrials,Capital expenditure growth,"Increasing business investment in plant, equipment and infrastructure.",90,active
