theme,catalyst,investigation_pathway,business_tag,display_order,mapping_status
Energy,Fuel prices rising,Airlines,airlines,10,active
Energy,Fuel prices rising,Road Freight,road_freight,20,active
Energy,Fuel prices rising,Shipping,freight_transport,30,active
Energy,Fuel prices rising,Logistics,logistics,40,active
Energy,Fuel prices rising,Chemicals,chemicals,50,active
Energy,Fuel prices rising,Construction Materials,construction_materials,60,active
Energy,Fuel prices rising,Agriculture,agriculture,70,active
Energy,Fuel prices rising,Mining,mining,80,active
Energy,Fuel prices rising,Utilities,utilities,90,active
Energy,Fuel prices rising,Consumer Spending,retail,100,active
Energy,Fuel prices falling,Airlines,airlines,10,active
Energy,Fuel prices falling,Road Freight,road_freight,20,active
Energy,Fuel prices falling,Shipping,freight_transport,30,active
Energy,Fuel prices falling,Travel,travel_services,40,active
Energy,Fuel prices falling,Retail,retail,50,active
Energy,Fuel prices falling,Consumer Spending,retail,60,active
Energy,Fuel prices falling,Chemicals,chemicals,70,active
Energy,Fuel prices falling,Manufacturing,contract_manufacturing,80,active
Energy,Fuel prices falling,Construction,infrastructure_engineering,90,active
Energy,Fuel prices falling,Logistics,logistics,100,active
Energy,Oil production disruption,Oilfield Services,oilfield_services,10,active
Energy,Oil production disruption,Refining,refining,20,active
Energy,Oil production disruption,Shipping,freight_transport,30,active
Energy,Oil production disruption,Airlines,airlines,40,active
Energy,Oil production disruption,Chemicals,chemicals,50,active
Energy,Oil production disruption,Utilities,utilities,60,active
Energy,Oil production disruption,Agriculture,agriculture,70,active
Energy,Oil production disruption,Mining,mining,80,active
Energy,Oil production disruption,Logistics,logistics,90,active
Energy,Oil production disruption,Industrial Manufacturing,industrial_processing,100,active
Energy,Natural gas demand increasing,LNG,lng,10,active
Energy,Natural gas demand increasing,Pipelines,pipelines,20,active
Energy,Natural gas demand increasing,Utilities,utilities,30,active
Energy,Natural gas demand increasing,Power Generation,power_generation,40,active
Energy,Natural gas demand increasing,Chemicals,chemicals,50,active
Energy,Natural gas demand increasing,Industrial Manufacturing,industrial_processing,60,active
Energy,Natural gas demand increasing,Shipping,freight_transport,70,active
Energy,Natural gas demand increasing,Engineering,engineering_services,80,active
Energy,Natural gas demand increasing,Storage,energy_storage,90,active
Energy,Natural gas demand increasing,Energy Infrastructure,energy_infrastructure,100,active
Energy,LNG capacity expansion,LNG,lng,10,active
Energy,LNG capacity expansion,Pipelines,pipelines,20,active
Energy,LNG capacity expansion,Ports,transportation_infrastructure,30,active
Energy,LNG capacity expansion,Shipping,freight_transport,40,active
Energy,LNG capacity expansion,Engineering,engineering_services,50,active
Energy,LNG capacity expansion,Construction,infrastructure_engineering,60,active
Energy,LNG capacity expansion,Industrial Equipment,industrial_equipment,70,active
Energy,LNG capacity expansion,Utilities,utilities,80,active
Energy,LNG capacity expansion,Energy Infrastructure,energy_infrastructure,90,active
Energy,LNG capacity expansion,Storage,energy_storage,100,active
Energy,Renewable investment accelerating,Solar Energy,solar_energy,10,active
Energy,Renewable investment accelerating,Wind Energy,renewable_energy,20,active
Energy,Renewable investment accelerating,Grid Infrastructure,grid_infrastructure,30,active
Energy,Renewable investment accelerating,Utilities,utilities,40,active
Energy,Renewable investment accelerating,Energy Storage,energy_storage,50,active
Energy,Renewable investment accelerating,Power Electronics,power_management,60,active
Energy,Renewable investment accelerating,Copper,copper,70,active
Energy,Renewable investment accelerating,Engineering,engineering_services,80,active
Energy,Renewable investment accelerating,Construction,infrastructure_engineering,90,active
Energy,Renewable investment accelerating,Transmission,electricity_transmission,100,active
Energy,Grid modernisation,Electricity Transmission,electricity_transmission,10,active
Energy,Grid modernisation,Energy Distribution,energy_distribution,20,active
Energy,Grid modernisation,Grid Technology,grid_technology,30,active
Energy,Grid modernisation,Power Equipment,electrical_equipment,40,active
Energy,Grid modernisation,Engineering,engineering_services,50,active
Energy,Grid modernisation,Construction,infrastructure_engineering,60,active
Energy,Grid modernisation,Energy Storage,energy_storage,70,active
Energy,Grid modernisation,Copper,copper,80,active
Energy,Grid modernisation,Industrial Software,industrial_software,90,active
Energy,Grid modernisation,Utilities,utilities,100,active
Energy,Electricity demand increasing,Utilities,utilities,10,active
Energy,Electricity demand increasing,Power Generation,power_generation,20,active
Energy,Electricity demand increasing,Grid Infrastructure,grid_infrastructure,30,active
Energy,Electricity demand increasing,Energy Storage,energy_storage,40,active
Energy,Electricity demand increasing,Nuclear,power_generation,50,active
Energy,Electricity demand increasing,Natural Gas,natural_gas,60,active
Energy,Electricity demand increasing,Renewable Energy,renewable_energy,70,active
Energy,Electricity demand increasing,Industrial Automation,industrial_automation,80,active
Energy,Electricity demand increasing,Cooling,thermal_management,90,active
Energy,Electricity demand increasing,Data Centres,data_centres,100,active
Energy,Energy storage adoption,Battery Materials,battery_materials,10,active
Energy,Energy storage adoption,Battery Storage,battery_storage,20,active
Energy,Energy storage adoption,Power Electronics,power_management,30,active
Energy,Energy storage adoption,Grid Infrastructure,grid_infrastructure,40,active
