theme,catalyst,investigation_pathway,display_order,status
Energy,Fuel prices rising,Airlines,10,active
Energy,Fuel prices rising,Road Freight,20,active
Energy,Fuel prices rising,Shipping,30,active
Energy,Fuel prices rising,Logistics,40,active
Energy,Fuel prices rising,Chemicals,50,active
Energy,Fuel prices rising,Construction Materials,60,active
Energy,Fuel prices rising,Agriculture,70,active
Energy,Fuel prices rising,Mining,80,active
Energy,Fuel prices rising,Utilities,90,active
Energy,Fuel prices rising,Consumer Spending,100,active
Energy,Fuel prices falling,Airlines,10,active
Energy,Fuel prices falling,Road Freight,20,active
Energy,Fuel prices falling,Shipping,30,active
Energy,Fuel prices falling,Travel,40,active
Energy,Fuel prices falling,Retail,50,active
Energy,Fuel prices falling,Consumer Spending,60,active
Energy,Fuel prices falling,Chemicals,70,active
Energy,Fuel prices falling,Manufacturing,80,active
Energy,Fuel prices falling,Construction,90,active
Energy,Fuel prices falling,Logistics,100,active
Energy,Oil production disruption,Oilfield Services,10,active
Energy,Oil production disruption,Refining,20,active
Energy,Oil production disruption,Shipping,30,active
Energy,Oil production disruption,Airlines,40,active
Energy,Oil production disruption,Chemicals,50,active
Energy,Oil production disruption,Utilities,60,active
Energy,Oil production disruption,Agriculture,70,active
Energy,Oil production disruption,Mining,80,active
Energy,Oil production disruption,Logistics,90,active
Energy,Oil production disruption,Industrial Manufacturing,100,active
Energy,Natural gas demand increasing,LNG,10,active
Energy,Natural gas demand increasing,Pipelines,20,active
Energy,Natural gas demand increasing,Utilities,30,active
Energy,Natural gas demand increasing,Power Generation,40,active
Energy,Natural gas demand increasing,Chemicals,50,active
Energy,Natural gas demand increasing,Industrial Manufacturing,60,active
Energy,Natural gas demand increasing,Shipping,70,active
Energy,Natural gas demand increasing,Engineering,80,active
Energy,Natural gas demand increasing,Storage,90,active
Energy,Natural gas demand increasing,Energy Infrastructure,100,active
Energy,LNG capacity expansion,LNG,10,active
Energy,LNG capacity expansion,Pipelines,20,active
Energy,LNG capacity expansion,Ports,30,active
Energy,LNG capacity expansion,Shipping,40,active
Energy,LNG capacity expansion,Engineering,50,active
Energy,LNG capacity expansion,Construction,60,active
Energy,LNG capacity expansion,Industrial Equipment,70,active
Energy,LNG capacity expansion,Utilities,80,active
Energy,LNG capacity expansion,Energy Infrastructure,90,active
Energy,LNG capacity expansion,Storage,100,active
Energy,Renewable investment accelerating,Solar Energy,10,active
Energy,Renewable investment accelerating,Wind Energy,20,active
Energy,Renewable investment accelerating,Grid Infrastructure,30,active
Energy,Renewable investment accelerating,Utilities,40,active
Energy,Renewable investment accelerating,Energy Storage,50,active
Energy,Renewable investment accelerating,Power Electronics,60,active
Energy,Renewable investment accelerating,Copper,70,active
Energy,Renewable investment accelerating,Engineering,80,active
Energy,Renewable investment accelerating,Construction,90,active
Energy,Renewable investment accelerating,Transmission,100,active
Energy,Grid modernisation,Electricity Transmission,10,active
Energy,Grid modernisation,Energy Distribution,20,active
Energy,Grid modernisation,Grid Technology,30,active
Energy,Grid modernisation,Power Equipment,40,active
Energy,Grid modernisation,Engineering,50,active
Energy,Grid modernisation,Construction,60,active
Energy,Grid modernisation,Energy Storage,70,active
Energy,Grid modernisation,Copper,80,active
Energy,Grid modernisation,Industrial Software,90,active
Energy,Grid modernisation,Utilities,100,active
Energy,Electricity demand increasing,Utilities,10,active
Energy,Electricity demand increasing,Power Generation,20,active
Energy,Electricity demand increasing,Grid Infrastructure,30,active
Energy,Electricity demand increasing,Energy Storage,40,active
Energy,Electricity demand increasing,Nuclear,50,active
Energy,Electricity demand increasing,Natural Gas,60,active
Energy,Electricity demand increasing,Renewable Energy,70,active
Energy,Electricity demand increasing,Industrial Automation,80,active
Energy,Electricity demand increasing,Cooling,90,active
Energy,Electricity demand increasing,Data Centres,100,active
Energy,Energy storage adoption,Battery Materials,10,active
Energy,Energy storage adoption,Battery Storage,20,active
Energy,Energy storage adoption,Power Electronics,30,active
Energy,Energy storage adoption,Grid Infrastructure,40,active
Energy,Energy storage adoption,Utilities,50,active
Energy,Energy storage adoption,Renewable Energy,60,active
Energy,Energy storage adoption,Electric Vehicles,70,active
Energy,Energy storage adoption,Recycling,80,active
Energy,Energy storage adoption,Engineering,90,active
Energy,Energy storage adoption,Manufacturing,100,active
Energy,Refining capacity constraints,Refining,10,active
Energy,Refining capacity constraints,Fuel Distribution,20,active
Energy,Refining capacity constraints,Airlines,30,active
Energy,Refining capacity constraints,Road Freight,40,active
Energy,Refining capacity constraints,Shipping,50,active
Energy,Refining capacity constraints,Chemicals,60,active
Energy,Refining capacity constraints,Fuel Retail,70,active
Energy,Refining capacity constraints,Logistics,80,active
Energy,Refining capacity constraints,Agriculture,90,active
Energy,Refining capacity constraints,Consumer Spending,100,active
Technology,AI infrastructure investment,Semiconductors,10,active
Technology,AI infrastructure investment,AI Accelerators,20,active
Technology,AI infrastructure investment,Networking,30,active
Technology,AI infrastructure investment,Photonics,40,active
Technology,AI infrastructure investment,Data Centres,50,active
Technology,AI infrastructure investment,Power Infrastructure,60,active
Technology,AI infrastructure investment,Cooling,70,active
Technology,AI infrastructure investment,Cloud Infrastructure,80,active
Technology,AI infrastructure investment,Engineering Services,90,active
Technology,AI infrastructure investment,Industrial Automation,100,active
Technology,Cloud spending accelerating,Cloud Infrastructure,10,active
Technology,Cloud spending accelerating,Enterprise Software,20,active
Technology,Cloud spending accelerating,Data Centres,30,active
Technology,Cloud spending accelerating,Networking,40,active
Technology,Cloud spending accelerating,Cybersecurity,50,active
Technology,Cloud spending accelerating,Data Storage,60,active
Technology,Cloud spending accelerating,Power Infrastructure,70,active
Technology,Cloud spending accelerating,Cooling,80,active
Technology,Cloud spending accelerating,IT Services,90,active
Technology,Cloud spending accelerating,Managed Services,100,active
Technology,Semiconductor demand increasing,Semiconductor Design,10,active
Technology,Semiconductor demand increasing,Foundry Services,20,active
Technology,Semiconductor demand increasing,Semiconductor Equipment,30,active
Technology,Semiconductor demand increasing,Semiconductor Materials,40,active
Technology,Semiconductor demand increasing,Electronic Test Equipment,50,active
Technology,Semiconductor demand increasing,Contract Manufacturing,60,active
Technology,Semiconductor demand increasing,Industrial Automation,70,active
Technology,Semiconductor demand increasing,Consumer Electronics,80,active
Technology,Semiconductor demand increasing,Automotive Electronics,90,active
Technology,Semiconductor demand increasing,Networking,100,active
Technology,Enterprise software investment,Enterprise Software,10,active
Technology,Enterprise software investment,Cloud Services,20,active
Technology,Enterprise software investment,Cybersecurity,30,active
Technology,Enterprise software investment,IT Services,40,active
Technology,Enterprise software investment,Consulting,50,active
Technology,Enterprise software investment,Data Analytics,60,active
Technology,Enterprise software investment,Artificial Intelligence,70,active
Technology,Enterprise software investment,Networking,80,active
Technology,Enterprise software investment,Data Storage,90,active
Technology,Enterprise software investment,Digital Transformation,100,active
Technology,Cybersecurity investment,Cybersecurity,10,active
Technology,Cybersecurity investment,Identity Security,20,active
Technology,Cybersecurity investment,Cloud Security,30,active
Technology,Cybersecurity investment,Networking,40,active
Technology,Cybersecurity investment,Physical Security,50,active
Technology,Cybersecurity investment,Data Infrastructure,60,active
Technology,Cybersecurity investment,Managed Services,70,active
Technology,Cybersecurity investment,Government Technology,80,active
Technology,Cybersecurity investment,Enterprise Software,90,active
Technology,Cybersecurity investment,Risk Management,100,active
Technology,Data centre expansion,Data Centres,10,active
Technology,Data centre expansion,Power Infrastructure,20,active
Technology,Data centre expansion,Cooling,30,active
Technology,Data centre expansion,Networking,40,active
Technology,Data centre expansion,Semiconductors,50,active
Technology,Data centre expansion,Construction,60,active
Technology,Data centre expansion,Engineering Services,70,active
Technology,Data centre expansion,Industrial Equipment,80,active
Technology,Data centre expansion,Photonics,90,active
Technology,Data centre expansion,Utilities,100,active
Technology,Consumer electronics demand,Consumer Electronics,10,active
Technology,Consumer electronics demand,Semiconductors,20,active
Technology,Consumer electronics demand,Electronic Components,30,active
Technology,Consumer electronics demand,Memory,40,active
