business_tag,tag_group,description
academic_publishing,Professional Services,"Publishes academic research, journals and educational content."
access_control,Security & Safety,Develops or provides physical and electronic access-control systems and technologies.
accounting_software,Technology,"Develops accounting, bookkeeping and financial management software."
adhesives,Materials,"Develops and manufactures industrial, construction and specialty adhesive products."
advanced_materials,Materials,"Develops advanced materials used across industrial, technology and scientific applications."
advertising,Media & Entertainment,"Provides advertising, marketing and brand communication services."
advertising_technology,Media & Entertainment,"Develops digital advertising platforms, technologies and campaign management solutions."
aerospace,Aerospace & Defence,Develops and manufactures commercial aerospace products and technologies.
aerospace_components,Aerospace & Defence,Designs and manufactures components used in aerospace systems and aircraft.
aerospace_defence,Aerospace & Defence,"Develops aerospace, defence and national security technologies."
aerospace_manufacturing,Aerospace & Defence,"Manufactures aircraft, aerospace structures and related systems."
aerospace_propulsion,Aerospace & Defence,"Develops aircraft engines, propulsion systems and related technologies."
aerospace_systems,Aerospace & Defence,"Develops integrated aerospace systems, avionics and flight technologies."
aggregates,Materials,Produces aggregates and raw construction materials.
agricultural_equipment,Agriculture,Designs and manufactures agricultural machinery and farming equipment.
agriculture,Agriculture,Produces agricultural products and farming-related goods and services.
agriculture_inputs,Agriculture,"Supplies fertilisers, crop protection products,  seeds and agricultural inputs."
agriculture_retail,Agriculture,Provides agricultural retail products and services to farming customers.
aircraft_engines,Aerospace & Defence,Develops and manufactures aircraft engines and propulsion technologies.
aircraft_maintenance,Aerospace & Defence,"Provides aircraft maintenance, repair and overhaul services."
aircraft_services,Aerospace & Defence,"Provides operational, engineering and support services for aircraft."
aircraft_systems,Aerospace & Defence,"Develops aircraft systems, avionics and flight-control technologies."
airlines,Transportation,Provides passenger and cargo airline transportation services.
airport_operations,Transportation,"Owns, operates and manages airport infrastructure and aviation services."
alternative_asset_management,Financial Services,Manages alternative investment strategies across multiple asset classes.
alternative_investments,Financial Services,Provides investment products and strategies outside traditional asset classes.
aluminium,Materials,"Produces, processes and supplies aluminium products and materials."
analog_semiconductors,Technology,Designs and manufactures analogue semiconductor devices.
analytical_testing,Professional Services,"Provides analytical testing, laboratory and certification services."
analytics,Technology,"Develops data analytics, reporting and decision-support technologies."
analytics_platforms,Technology,"Develops software platforms for analytics, business intelligence and decision support."
animal_health,Healthcare,"Develops animal health medicines, vaccines and veterinary products."
apparel,Consumer,"Designs, manufactures and markets clothing and apparel products."
apparel_retail,Retail,Operates retail businesses specialising in clothing and fashion products.
artificial_intelligence,Technology,"Develops or applies artificial intelligence models, platforms and enabling technologies."
assessment,Professional Services,"Provides assessment, examination and evaluation services."
asset_management,Financial Services,Manages investment portfolios and assets on behalf of individuals and institutions.
asset_tracking,Technology,"Develops technologies for tracking, monitoring and managing physical assets."
automotive,Automotive,"Designs, manufactures and supplies passenger and commercial vehicles."
automotive_aftermarket,Automotive,"Provides replacement parts, servicing and aftermarket automotive products."
automotive_components,Automotive,Designs and manufactures components used in vehicle production.
automotive_electronics,Automotive,Develops electronic systems and technologies for automotive applications.
automotive_parts,Automotive,Manufactures and supplies automotive parts and replacement components.
automotive_retail,Retail,Operates retail businesses specialising in vehicle sales and related services.
automotive_services,Automotive,"Provides servicing, maintenance and operational support for vehicles."
automotive_technology,Automotive,"Develops technologies supporting connected, autonomous and electric mobility."
banking,Financial Services,"Provides retail, commercial,  corporate and investment banking services."
