ticker,company_name,country,primary_business_tag,business_tags,business_overview
AC,Accor Sa,France,hospitality,hospitality;travel_services;hotel_management,"Operates, manages and franchises hotels, with additional activities or exposure across digital hospitality and travel services."
ACA,Credit Agricole Sa,France,banking,banking;insurance;asset_management;private_banking,"Provides retail, commercial and investment banking services, with additional activities or exposure across insurance, asset management and private banking."
AI,Lair Liquide Societe Anonyme Pour,France,industrial_gases,industrial_gases;engineering_services;medical_gases,"Produces industrial and medical gases, equipment and related engineering services."
AIR,Airbus Group,France,aerospace_defence,aerospace_defence;commercial_aircraft;helicopters;space_technology,"Designs, manufactures and services commercial aircraft, helicopters, defence systems and space technologies."
BN,Danone Sa,France,aerospace_defence,aerospace_defence;commercial_aircraft;helicopters;space_technology,"Designs, manufactures and services commercial aircraft, helicopters, defence systems and space technologies."
BNP,Bnp Paribas Sa,France,food_beverage,food_beverage;nutrition;bottled_water,"Develops, manufactures and markets dairy, plant-based, nutrition and bottled-water products."
BVI,Bureau Veritas Sa,France,banking,banking;investment_banking;asset_management;wealth_management,"Provides retail, commercial and investment banking services, with additional activities or exposure across asset management and wealth management."
CA,Carrefour Sa,France,testing_certification,testing_certification;inspection;consulting,"Provides testing, inspection, certification and regulatory-compliance services."
CAP,Capgemini,France,food_retail,food_retail;ecommerce;financial_services,"Operates grocery and general-merchandise retail businesses, with additional activities or exposure across e-commerce and financial services."
CS,Axa Sa,France,it_consulting,it_consulting;enterprise_software;digital_transformation,"Provides consulting, digital transformation, engineering and managed technology services."
DG,Vinci Sa,France,insurance,insurance;asset_management;banking,"Provides insurance, investment and related financial services, with additional activities or exposure across asset management and banking."
DSY,Dassault Systemes,France,infrastructure,infrastructure;engineering_services;transportation_infrastructure,"Designs, constructs, operates and maintains transport, energy and telecommunications infrastructure."
EDEN,Edenred,France,engineering_software,engineering_software;product_lifecycle_management;simulation,"Develops engineering, simulation and product lifecycle management software platforms."
EL,Essilorluxottica Sa,France,corporate_payments,corporate_payments;employee_benefits;expense_management,"Develops employee-benefit, corporate-payment and expense-management solutions."
EN,Bouygues Sa,France,vision_care,vision_care;medical_devices;eyewear,"Designs, manufactures and markets ophthalmic lenses, eyewear and vision-care technologies."
ENGI,Engie Sa,France,engineering_services,engineering_services;telecommunications;real_estate_development,"Provides construction, infrastructure and telecommunications services, with additional activities or exposure across real-estate development."
ERF,Eurofins Scientific,France,utilities,utilities;renewable_energy;natural_gas;energy_services,"Generates, supplies and distributes electricity and gas, with additional activities or exposure across renewable energy and energy services."
GLE,Societe Generale Sa,France,laboratory_services,laboratory_services;diagnostics;analytical_testing,"Provides laboratory testing and analytical services across pharmaceutical, food, environmental and consumer markets."
